as-set,descr,members,mnt-by,last-modified,source,AS_count,cone,class
as135718:as-dishawavesinfonet,dishawavesinfonetpvt.ltd,"as135718,as135802,as137151,as-gnplisp,as135755,as137604,as136721,as137586,as137651,as135759,as132515,as137137,as134247,as137093,as137116,as138726,as134914,as135877,as139483,as149182,as136340,as138364,as138761,as134914,as136315,as45661,as147264,as149223,as137150,as45661,as141281,as141296,as137152,as141319,as141797,as141874,as135718,as138411,as146917,as140201,as136670,as141866,as147259,as149255,as149544,as133987,as139558,as141490,as149595,as133001,as150018,as150059,as150028,as149588,as134290,as136634,as137684,as150104,as150103,as147195,as149564,as150639,as136327,as146936,as133662",maint-in-dishawavesinfonet,25-04-2023,apnic,65,61,0
as-attap,forspam:********,"as2687,as254,as1931,as2030,as2386,as2631,as3573,as3614,as3738,as3918,as4237,as4249,as4468,as6253,as6904,as7054,as8116,as11719,as11857,as12422,as14381,as14962,as17390,as17802,as17825,as17916,as18676,as18723,as18725,as18880,as19236,as19239,as20258,as21326,as22283,as22744,as24023,as24126,as24189,as25886,as25888,as25951,as26485,as30337,as32906,as33619,as35923,as38564,as40703,as40934,as43996,as45432,as46163,as46313,as48075,as53571,as54864,as56136,as59248,as132384,as132403,as132451,as133069,as133587,as134531,as134534,as136261,as136560,as137220,as138154,as138463,as138481,as139930,as140240,as140890,as142137,as397074,as398699",maint-ap-opennet,07-02-2023,apnic,78,78,0
as134599:as-ddn,ddn,"as58717,as137453,as135341,as138492,as137568,as138509,as139282,as138612,as64037,as139647,as138981,as140668,as138452,as140712,as134153,as141698,as141699,as138651,as138925,as140222,as139283,as58682,as137491,as136948,as137186,as133034,as139813,as140215,as142134,as142623,as141155,as147063,as147050,as59239,as149006,as58912,as149517,as134806,as149033,as142547,as138548,as139208,as149055,as149426,as140069,as149483,as150302,as150778,as146946,as139642,as137953,as139303,as150168,as138638,as150178,as58601,as137703,as140949",maint-digitaldotnet-bd,31-03-2023,apnic,58,58,0
as-63529-as-import-as45265,proxyregisteras-setforas45265usedasirrfilteringbyas63529(bknix-rs),"as-csl-domestic-transit,as9902,as135664,as139297,as141370,as142165,as142437,as138530,as10089,as147187,as141713,as140972,as149766,as131089,as139057,as150119,as7693,as150148,as135329,as150107,as136975,as131167,as132686,as139003,as149810,as136210,as135405,as142644,as149038,as136137,as133440,as142423,as150159,as136474,as133524,as136177,as21859,as137567,as137955,as134976,as150153,as137215,as141419,as132537,as140631,as135285,as150310,as834,as212238,as140686,as139341,as63139,as140305,as141199,as142131,as132300",maint-bknix-th,30-05-2023,apnic,56,55,0
as-tedata,te-datacustomers,"as8452,as6127,as-idsc,as24736,as21152,as24878,as6879,as15834,as21242,as24863,as20484,as31065,as5536,as8524,as20928,as30993,as15475,as31619,as33778,as25364,as33785,as20858,as33777,as36870,as36885,as15804,as34778,as36929,as36935,as36978,as36992,as24835,as3328,as37031,as36971,as2561,as37003,as36990,as33789,as26415,as37066,as47887,as15706,as37112,as37132,as37193,as10474,as33772,as32860,as33765,as3741,as35819,as37191,as19460,as37226,as48832,as37250,as15802,as-sudatel,as-linkdotnet,as37437,as47442,as-omantel,as8529,as37583,as-noor,as37562,as-raya,as37664,as12257,as36408,as37279,as72,as36906,as-jtg,as-adjib,as-setptcl,as327846,as-cloudflare,as37252,as37226,as327838,as36906,as328062,as328067,as328052,as59605,as29386,as-zaingp,as-pdn-ste-sy,as328011,as43766,as-mtc_ksa,as-itc,as37339,as328299,as36998,as37664,as9038,as59451,as30873,as328629,as328762,as37585,as38193,as-peers",te-data-mnt,17-02-2021,ripe,106,10297,0
as-decix-dfw-v6,de-cixdallas,"as-16524,as-20253,as-22772,as-267613,as-29802,as-398337,as-399462,as-40581-inet,as-46475,as-akamai,as-amazon,as-amc,as-anexia,as-apple,as-atb,as-august,as-awbb,as-blizzard,as-bns-transit,as-bso,as-c1,as-cachenetworks,as-cais,as-capitalonlinedata,as-cbl1-all-as-numbers,as-cci,as-choopa,as-cloudflare,as-corexchange-us,as-cosmic-global,as-criteo,as-critical-dfw,as-databank,as-dialpad,as-dv,as-ebaymtbb,as-edgecast,as-embratelnet,as-expereo,as-f5,as-facebook,as-fastly,as-fiberfed-dfw,as-fiberhub,as-foremost,as-gbxs,as-gcore,as-gigabitco-transit,as-google,as-google-fiber,as-gth-dal,as-highwinds,as-hurricanev6,as-ictx,as-ientc-mx,as-interactive3d,as-ip-max,as-jmf-customers,as-kcfiber,as-learn-comm,as-learn-inst,as-leaseweb,as-llnw,as-loni-members,as-maxihost,as-meer,as-meshnet,as-metroplex,as-microsoft,as-nada,as-netaccess,as-netfortris,as-netskope,as-nexeon,as-nexril,as-nflx,as-ngx-networks,as-nitel-transit,as-nola,as-officering,as-onenetok,as-oneringnetworks,as-packetfabric,as-path,as-pavlov,as-pch,as-phonoscope,as-prole,as-pxf-transit-cust,as-qts-40107,as-rackspace,as-riot,as-roadrunner,as-salesforce,as-shift,as-slf-13760-orgpeers,as-softlayer,as-srvby,as-tampnet,as-telx,as-tfmx,as-tierpoint,as-twitch,as-uk2net,as-unitas,as-us-tampnet,as-valve,as-vantage,as-vapor,as-viawest-v6-transit,as-vmware-sase,as-wholesale-internet,as-wikimedia,as-winstri,as-wnet,as-yahoo,as-yomura,as-zito,as137409,as-all,as13825,as-peers,as14593,as-sx-starlink,as15164,as-all,as18615,as271049,as-exs,as30286,as393398,as-dis,as393737,as395301,as396986,as397423,as-cone,as398196,as-all,as398395,as-dottech,as398418,as400474,as-all,as40630,as-all,as46632,as-swat,as53991,as54804,as62648,as62744",mnt-dna-31,02-06-2023,arin,152,8450,0
as-63529-as-import-as140867,proxyregisteras-setforas140867usedasirrfilteringbyas63529(bknix-rs),"as-internationalgateway,as132344,as134736,as134840,as134976,as135111,as135405,as135589,as136480,as136780,as136786,as136975,as137567,as137888,as138158,as138168,as138494,as139071,as139711,as139719,as139849,as9654,as131322,as132100,as132148,as132686,as133384,as133440,as133524,as135391,as136168,as136177,as136442,as136783,as136952,as138684,as139704,as18399,as23944,as63998,as21859,as142423,as136205,as131167,as133440,as140552,as138352,as139822,as55799,as149660,as137424,as25152,as149038,as139003,as142644,as150159,as56309,as136789,as150297,as137955,as132537,as135285,as150310,as140686,as141199",maint-bknix-th,02-05-2023,apnic,65,63,1
as-vodafonenz-cust,vodafonenewzealandascustomerlist,"as56030,as132692,as37411,as9245,as23838,as132255,as133043,as56186,as132449,as24466,as55797,as17492,as18015,as132074,as9733,as131318,as38477,as56028,as9303,as133756,as45641,as18400,as132840,as133035,as134224,as45181,as58988,as45215,as133187,as132143,as38437,as132919,as17994,as131174,as18202,as38294,as37974,as9834,as9431,as56102,as24398,as134102,as23878,as38590,as10022,as10110,as7599,as18353,as134099,as9439,as24183,as9896,as24459,as56214,as132003,as23977,as24226,as56216,as38586,as9511,as7543,as9897,as9503,as55793,as37979,as55850,as9788,as14600,as17435,as17472,as18021,as23737,as23869,as24005,as24006,as38605,as38624,as38833,as38881,as45172,as45177,as45190,as45359,as45475,as45476,as54113,as55337,as55435,as55729,as56174,as58421,as58936,as59357,as60890,as61138,as63519,as131254,as131455,as132240,as132268,as132304,as132596,as132697,as132722,as133145,as133192,as133218,as133393,as133451,as133532,as133579,as133884,as133887,as133915,as134110,as134244,as203961,as132459,as23934,as23710,as24324,as201304,as134118,as134730,as45887,as136436,as9872,as57926,as136157,as45164,as23916,as55872,as681,as4667,as9431,as9433,as17542,as18378,as24318,as24398,as38018,as38022,as38140,as38299,as38305,as38473,as38479,as38626,as38827,as38906,as45131,as45787,as55485,as55524,as55702,as55746,as55747,as55887,as131187,as132264,as132596,as133857,as133928,as134227,as135288,as138410,as38022,as45620,as9432,as23905,as38319,as132040,as22640,as3573,as138360,as135428,as140089,as18159,as24548",maint-nz-vodafone-nz,03-04-2022,apnic,179,175,0
as132770:as-gazoncustomers,gazoncustomers,"as135189,as138264,as135811,as135785,as137122,as-idnpl,as134897,as138795,as138276,as137109,as135731,as149224,as-telesecu,as133662,as137631,as138520,as139531,as134855,as149578,as135207,as135775,as132441,as133009,as140164,as136639,as135795,as135837,as136284,as133983,as138272,as135735,as135241,as137177,as137122,as137169,as135870,as135735,as-vilite,as137599,as134006,as133244,as18196,as136295,as134932,as-viwpl-customers,as137616,as138256,as138228,as135768,as135744,as138267,as138781,as137642,as138278,as134055,as137656,as137109,as-gracetel,as138520,as-lnspl-customers,as141831,as-skynet123,as134885,as133677,as138272,as-hi5mspl,as136334,as-vortex-customers,as137160,as134855,as-ipnetbroadbandpvtltd,as132752,as140160,as133592,as18196,as-7starbalajicustomer1,as141867,as133720,as133720,as138798,as138798,as-customers,as138317,as137642,as136358,as141831,as136284,as-ptpl1,as146866,as141527,as141524,as-imperium,as146909,as138311,as-limerick,as135747,as135207,as-cloudnet,as141492,as-customers,as132770,as-gazoncustomers,as149534,as141322,as-wyris,as149615,as133292,as149619,as139531,as-syncbroa,as140164,as134283,as133257,as141284,as146945,as136641,as45194,as-syscon-in,as137144,as147283,as134283,as-flitzen,as149224,as146932,as136639,as-scud,as149615,as-customer,as149615",maint-in-gazon,25-05-2023,apnic,129,100,1
as6128:as-customers,cablevisiontransitcustomers,"as6128,as39973,as14396,as-akamai,as22994,as394877,as8173,as11783,as1436,as1617,as1619,as1632,as3107,as3485,as3549,as3700,as3769,as3785,as3820,as3957,as4451,as4883,as4904,as4906,as5116,as5703,as5719,as6102,as6126,as6248,as6404,as7297,as7336,as7936,as8037,as10317,as10584,as10661,as10909,as10955,as10985,as11209,as11243,as11332,as11337,as11369,as11490,as11516,as11574,as11579,as11737,as11759,as11805,as11813,as11817,as11860,as12002,as12025,as12073,as12114,as12203,as12216,as12251,as13313,as13400,as13431,as13435,as13444,as13458,as13462,as13505,as13524,as13581,as13596,as13652,as13686,as13745,as13748,as13757,as13821,as13850,as13883,as13938,as14006,as14070,as14074,as14076,as14079,as14251,as14324,as14350,as14437,as14555,as14564,as14573,as14584,as14607,as14611,as14644,as14699,as14717,as14822,as14864,as14969,as15012,as15080,as15174,as15209,as15275,as15278,as15312,as15580,as16590,as16754,as16770,as16828,as16884,as16889,as16947,as16979,as17051,as17103,as17278,as17324,as17344,as18438,as18458,as18481,as18593,as18603,as18725,as18728,as18796,as18808,as18914,as18925,as18944,as18948,as18951,as18960,as18973,as19162,as19195,as19216,as19250,as19313,as19449,as19479,as19587,as19618,as19670,as19714,as19720,as19796,as19862,as19926,as19949,as19961,as20000,as20179,as20213,as20229,as20267,as20287,as20306,as20339,as20371,as20398,as21778,as21821,as21835,as21941,as22012,as22029,as22033,as22077,as22096,as22204,as22225,as22249,as22308,as22345,as22399,as22405,as22447,as22460,as22604,as22642,as22651,as22656,as22721,as22771,as22775,as22793,as22904,as22907,as22943,as22993,as23069,as23227,as23274,as23290,as23341,as23359,as23410,as23463,as23484,as25611,as25740,as25821,as25854,as25890,as25924,as25936,as25952,as25987,as26031,as26057,as26073,as26239,as26258,as26290,as26309,as26454,as26459,as26461,as26561,as26564,as26636,as26700,as26707,as26782,as26815,as26828,as26927,as26931,as26963,as26991,as27185,as27263,as27335,as27363,as27371,as27390,as27447,as27453,as27455,as27478,as27483,as27519,as27536,as27543,as29867,as29890,as29949,as30004,as30006,as30054,as30104,as30138,as30196,as30218,as30280,as30367,as30379,as30416,as30428,as30527,as30562,as30566,as30581,as30593,as30635,as31774,as31818,as31821,as31842,as31922,as31987,as32002,as32011,as32136,as32139,as32195,as32254,as32430,as32531,as32588,as32604,as32696,as32720,as32728,as32753,as32793,as32918,as32948,as33001,as33245,as33249,as33311,as33381,as33408,as33467,as33620,as33645,as33677,as33684,as33699,as33759,as35867,as35922,as35991,as35996,as36011,as36064,as36136,as36161,as36178,as36224,as36265,as36378,as36380,as36399,as36406,as36447,as36591,as36667,as36681,as36729,as36800,as36807,as36851,as36861,as39943,as39957,as39960,as39981,as40002,as40110,as40137,as40149,as40160,as40163,as40211,as40221,as40233,as40235,as40267,as40296,as40321,as40474,as40513,as40593,as40598,as40617,as40901,as40922,as40951,as46080,as46087,as46098,as46104,as46126,as46140,as46152,as46388,as46390,as46471,as46591,as46610,as46673,as46766,as46827,as46835,as46870,as46904,as46983,as46996,as47019,as51318,as51830,as53376,as53399,as53400,as53415,as53475,as53482,as53528,as53530,as53555,as53640,as53651,as53681,as53720,as53725,as53751,as53826,as53859,as53880,as53886,as53909,as53958,as53973,as53980,as54120,as54205,as54220,as54309,as54323,as54343,as54467,as54498,as54530,as54546,as54547,as54549,as54702,as54735,as54776,as54778,as54798,as54967,as55057,as55149,as55179,as55203,as55209,as55252,as62568,as62614,as62677,as62751,as62802,as62813,as63046,as63180,as63183,as63254,as63260,as63329,as63378,as63397,as63418,as393325,as393329,as393458,as393644,as393700,as393728,as393795,as393978,as393992,as394110,as394138,as394169,as394193,as394454,as394488,as394564,as32551,as33598,as30454,as395117,as394524,as394245,as394817,as11898,as395586,as40527,as395319,as394872,as11584,as22035,as14321,as36304,as26083,as23288,as14299,as54743,as4563,as10844,as40042,as21895,as395547,as6253,as395045,as54087,as36474,as395252,as13631,as65604,as62641,as393871,as13844,as395690,as395652,as22630,as13599,as62901,as46183,as394178,as395053,as395603,as396010,as53964,as40095,as40262,as396146,as20079,as22234,as396130,as19642,as17903,as396042,as396189,as4879,as395196,as63205,as14163,as33442,as40350,as62,as396451,as46578,as20249,as62822,as16666,as29719,as26540,as396148,as395987,as36082,as35838,as55052,as32646,as21619,as23329,as22362,as30646,as21656,as26646,as46655,as32431,as30118,as15051,as54218,as19427,as18904,as393731,as16807,as54004,as395384,as22479,as36360,as27457,as21886,as13460,as31939,as53664,as49683,as3408,as396844,as18715,as3412,as14015,as17008,as397176,as63465,as35880,as30394,as15205,as17035,as10753,as19787,as15319,as22774,as6143,as394102,as54201,as32805,as33570,as22917,as396131,as397417,as13639,as397394,as397589,as397603,as36054,as33242,as398116,as22271,as25909,as14160,as33141,as27305,as64244,as397508,as17056,as394980,as36466,as11331,as398463,as33703,as38166,as21735,as32674,as30255,as12193,as31844,as11204,as398465,as18794,as398703,as32923,as400423,as399034,as33709,as32171,as399856,as14218,as395549,as400188,as399208,as399684,as395331,as32940,as63125,as29981,as26478,as25844,as46351,as398875,as203923,as14660,as398949,as399664,as394103,as31823,as398499,as399768,as13718,as23491,as54557,as393463,as35850,as33425,as40522,as26065,as30346,as394666,as22420,as10653,as399353,as14408,as18619,as836,as205080,as46917,as18616,as36193,as400516,as400421",mnt-cvnt-z,03-05-2023,arin,663,695,0
as-telx-nyc,frit,"as36086,as46806,as40114,as30109,as33742,as53939,as26549,as19833,as394933,as8038,as62634,as22980,as1821,as40025,as36204,as22994,as35905,as26154,as11457,as22328,as62831,as18484,as40769,as62875,as54009,as395120,as398398,as396078,as394110,as32034,as10453,as46454,as394954,as394215,as22319,as40594,as202597,as27390,as33761,as62672,as27592,as397562,as63014,as26234,as6643,as12237,as6364,as12276,as53293,as32482,as54305,as40624,as13578,as55085,as54593,as14679,as27461,as62887,as19796,as63190,as394010,as13821,as393763,as26074,as36272,as29996,as45513,as35269",mnt-fri-19,20-03-2023,arin,68,68,1
as-test1-tds-transit,tdsprovidestransittotheseasnumbers,"as2003,as2724,as4181,as6547,as10359,as10788,as11788,as11803,as11964,as13516,as13575,as13702,as14274,as14305,as14414,as14591,as15176,as15285,as16568,as17091,as18512,as19391,as20127,as20357,as21864,as21896,as21989,as22582,as22986,as23198,as23548,as25810,as26570,as26844,as27019,as27264,as27482,as27490,as30581,as32384,as32625,as32889,as33122,as33395,as40198,as40433,as40559,as40709,as40710,as46081,as46165,as46674,as47039,as53355,as53515,as53536,as53931,as53943,as54060,as54248,as54519,as55083,as393257,as393675,as393841,as394565,as395086,as395322,as396145,as396152,as396247,as396491,as396843,as396965,as54519,as-tdshms-msn-customers,as-bbb-customers,as54519,as-oneneck-msn",mnt-tdst,12-04-2022,arin,79,74,0
as55794:as-lynx,jakarta,"as55794,as23700,as9905,as38162,as4832,as59288,as131697,as135476,as56253,as58480,as63941,as133834,as133843,as58398,as135448,as135487,as134624,as134656,as135447,as38498,as59144,as55673,as23953,as136121,as23861,as38153,as18355,as46048,as24205,as38171,as46037,as17995,as46024,as134656,as58557,as56261,as131697,as135447,as45286,as45293,as24206,as137340,as136123,as47534,as139392,as138065,as136093,as139430,as45319,as131237,as131765,as139445,as139447,as139979,as134621,as139987,as133800,as38525,as59143,as9340,as134640,as58399,as45729,as135460,as47583,as58484,as136832,as134649,as132434,as138049,as138091,as138092,as138099,as131741,as139456,as17884,as140013,as140456,as136120,as45714,as64312,as59147,as136844,as136095,as59159,as3583,as23954,as136856,as136119,as132668,as138852,as131732,as138802,as134626,as3573,as136858,as18365,as131732,as136877,as138068,as58495,as17538,as134651,as133345,as136074,as137465,as58816,as135480,as63497,as135450,as64315,as9794,as138080,as133360,as45287,as58821,as138810,as136091,as133347,as138060,as138834,as38764,as58514,as137365,as64026,as38756,as135445,as38527,as136868,as138107,as138089,as135451,as46016,as136851,as138141,as64029,as136874,as135462,as138862,as24523,as131780,as4833,as131710,as56251,as45702,as45291,as59150,as138087,as138130,as55655,as135465,as38500,as131775,as133359,as134612,as136101,as138102,as131717,as58551,as63503,as64310,as38783,as134633,as55699,as63867,as139401,as55701,as137330,as138119,as45316,as134612,as54994,as38320,as138802,as55666,as137336,as58449,as58387,as38757,as134645,as9341,as139453,as131754,as59146,as133833,as55683,as72,as45102,as134628,as137002,as56238,as136062,as46022,as132647,as138061,as45722,as139386,as139291,as139458,as137354,as59149,as139455,as141099,as136833,as140006,as138058,as141614,as134493,as134462,as141637,as141055,as141658,as141905,as141897,as13150,as141890,as141095,as137357,as131761,as141931,as141907,as38567,as142335,as141138,as141913,as133804,as141123,as138054,as63862",maint-id-lynx,20-08-2021,apnic,229,223,0
as17501:as-customers,customersofas17501,"as140948,as4613,as24474,as45170,as38217,as132346,as135327,as18395,as24550,as38464,as38828,as24474,as55427,as45157,as23928,as23647,as17653,as24550,as133179,as133923,as23647,as135337,as45650,as56196,as17821,as134504,as135303,as134995,as133092,as45353,as132799,as132407,as136219,as136380,as136477,as136530,as136794,as36040,as132270,as137187,as24555,as136979,as58504,as133149,as137080,as137210,as137275,as133557,as135522,as132856,as136047,as138350,as137854,as63968,as138500,as138605,as139196,as24504,as139261,as139902,as135043,as140948,as137978,as142065,as136763,as142621,as149812,as149817,as133128,as150780,as149652,as137187,as-customers",wlink,31-05-2023,apnic,73,69,0
as23947:as-global,jakarta,"as23947,as-ptmoratel,as45315,as-polaris,as24523,as-orion,as45180,as-tca,as23694,as-indikanet,as45289,as-indotrans,as9340,as-indonet,as24522,as-globalport,as23951,as-citra,as45696,as-ppatk,as38753,as-ptsolusindobintangpratama,as24518,as-ntsnet,as24521,as-datautamanet,as23756,as-padinet,as38496,as-cni,as45786,as-at,as4434,as-radnet,as38896,as-polarisnet,as38202,as-mnet,as24531,as-tn,as9516,as-t2transit,as45311,as-qonnection,as18106,as-viewqwest,as38163,as-mobile8,as18004,as-wirelessnet,as24200,as-cakramedia,as17671,as-jetcoms,as17769,as-citynet,as18351,as-mediaakses,as38771,as-cyberplus,as24212,as-jasnet,as38518,as-lintaswavenet,as23671,as-jmn,as24530,as-powenet,as24197,as-bignet,as4800,as-,asarta,as38569,as-nukom,as18189,as-broadnetasia,as45291,as-surf,as45321,as-imdomog,as18347,as-ipnet,as4800,as-lintasarta,as24213,as-amb,as9462,as-boleh-net,as17995,as-solusinet,as38776,as-greenlinks,as45302,as-desnet,as45714,as-sti,as38516,as-infokomnap,as46021,as-au,as9326,as-centrin,as38515,as-grahamedia,as38772,as-smartlinknet,as17658,as-primanet,as24526,as-binus,as46023,as-quantumnet,as38758,as-hypernet,as45718,as-juragan,as24210,as-angkasawave,as46049,as-undip,as45325,as-pc24,as38542,as-winet,as38149,as-ratelindonet,as46062,as-lintasbuana,as46063,as-grahanet,as45711,as-imediabiz,as24527,as-dakaranet,as46023,as-quantumnet,as46018,as-depperin,as45770,as-sby-eproc,as55668,as-jabartelnet,as38278,as-paneagle-ap,as56111,as-agarto-ap,as56172,as-agoracomms,as56237,as-unila,as45697,as-ubaya,as38527,as-mlink,as38502,as-mdpnet,as55685,as-jlm,as58369,as-fibernet-ap,as132033,as-ecsnet,as23936,as-epsilon,as56111,as-agarto,as38757,as-iconpln,as45706,as-tgg,as56247,as-itg,as55658,as-hypernet,as55685,as-id,as131785,as-id,as55667,as-id,as18391,as55666,as-gmedia,as58816,as-garena,as132653,as-transdata,as46054,as-wlan,as55799,as-hostemo,as56236,as-bnn,as58486,as-itechnet,as131711,as-cybermax,as56248,as-indahkiatpp,as131769,as-mayatama,as131776,as-lapan,as56109,as-everworks,as131784,as-sdppi-spektrum,as132631,as-raytel,as132640,as-arthanata,as55701,as-asnet,as131746,as-permana,as24201,as-andalasmedia,as132643,as-kpu,as131310,as-plt-net,as56257,as-bpppti,as58402,as-scng,as132649,as-adaunet,as132672,as-sahabatnet,as56256,as-pnri,as38155,as-audianet,as45324,as-gmedia,as23679,as-nusanet,as59155,as-inetku,as58498,as-ibs,as24532,as-inet,as59271,as-kemenpera,as38778,as-dwpnet,as59282,as-gpm,as133348,as-cnooc,as59285,as-latansa,as38768,as-platinum,as131734,as-uinjkt,as45294,as-wanxp,as133456,as-alagasnetwork,as58486,as-itechnet,as59289,as-cdnet,as133354,as-akpa,as63489,as-bprtik,as58495,as-hspnet,as58823,as-lib,as58485,as-wifian,as59138,as-unisbank,as59151,as-jogjaprov,as17670,as-infokom,as45721,as-varnion,as55655,as-sims,as45716,as-jetflash,as45294,as-wanxp,as45295,as-keprinet,as24525,as-sap,as24197,as-bignet,as9326,as-centrin,as38513,as-lintasarta,as58384,as-comradindo,as55482,as-digital-wave,as45707,as-primelink,as4832,as-internuxnet,as23699,as-eznet,as45312,as-mld,as24202,as-paktelnet,as56239,as-gastranet,as17670,as-infokom,as23698,as-vipnet,as55665,as-stmi,as38775,as-idsirtii,as45298,as-interlink-tech,as38510,as-deptan,as24535,as-isatnet,as9794,as-dnet,as46030,as-nexcomnet,as38164,as-buminet,as38523,as-intikomp,as46032,as-globenet,as38211,as-mcm,as38782,as-mlc,as58477,as-argon,as131702,as-mora-ix,as42473,as-anexia,as58381,as-wowrack,as24373,as-vdslnetwork,as55663,as-netara,as17884,as-uninet,as45735,as-uninet-nap,as23953,as-scbdnet,as46017,as-bakosurtanal,as55659,as-od-ix,as45723,as-omadata,as55669,as-mcs,as38522,as-telindonet,as59272,as-idnic-lst,as38490,as-ndosatm2-nap,as46056,as-gcc,as58558,as-wijayasolusindo,as133337,as-mss,as55688,as-beon,as131738,as-goldenit,as132668,as-balitowernet,as132635,as-wonoarto,as131735,as-tnc,as38789,as-dutanet,as132337,as-netronext,as63492,as-nusatrip,as55799,as-hostemo,as131783,as-id,as46038,as-id,as133361,as-id,as133359,as-id,as59133,asitel-as-id,as58514,as-id,as45728,as-id,as55794,as-ap,as9905,as9341,as133360,as-id,as9875,as-ap,as38154,as-hk,as58425,as-ap,as131759,as-id,as55652,ashnet-as-id,as133364,as-id,as58404,as-qwords,as58482,as-id,as63512,as-id,as59157,as-id,as63517,as-id,as58382,as63509,as63511,as17451,as-ap,as45719,as-id,as24519,as-id,as44356,as58398,as-id,as133798,as-id,as46026,as-id,as133799,as-id,as131760,as-id,as131737,as-id,as131724,as-id,as55672,as-id,as58385,as-id,as58403,as-id,as38503,as-id,as58401,as-id,as59276,as-id,as58395,as-id,as133802,as-as-id,as63868,asionalonline-id,as133535,asnetwork-as-ap,as38165,as-id,as45146,asa-as-id-ap,as59279,as-id,as59157,as-id,as131710,as-id,as10208,as-id-ap,as131768,as-id,as131780,as-id,as132661,aslu-as-id,as133329,as133344,as-id,as133356,as-id,as133809,as-id,as17538,as-id,as23946,as-id,as23979,as-ap-sg,as24209,as-id,as24520,as-id,as38147,as-id,as38152,as38161,as-id,as38755,as-id,as45147,as-ap,as45288,as-id,as45702,as-id,as46060,as-id,as4622,as4821,as-id,as55653,as-id,as55695,as-id,as55820,as58391,as-id,as58478,as-ap,as58493,as-id,as58556,as-id,as59147,as-id,as59160,as-id,as59288,as-id,as63867,as-id,as9234,as45731,as-id,as59157,as-id,as56251,as-id,as63498,as-id,as63859,as-id,as38524,as-id,as55678,as45293,as-id,as24213,as-id,as46028,as-id,as59133,asitel-as-id,as131717,as-id,as56255,as-id,as131749,as-id,as63874,as-id,as133353,as-id,as59131,as-id,as24195,as-id,as4833,as58477,as-id,as63884,as-id,as134613,as-id,as134628,as-id,as59286,as-id,as45724,as-id,as45720,as-id,as9422,as38783,as-id,as24207,as-id,as134629,as-id,as132647,as-id,as59135,as-id,as45701,as-id,as134637,as-id,as131755,as-id,as58499,astream-as-id,as131782,as-id,as131719,as-id,as24536,as-id,as58400,as-id,as133838,as-id,as45727,as-id,as131716,as-id,as133822,as-id,as134659,as-id,as134652,as-id,as131722,as-id,as64030,as-id,as59290,as-id,as38760,as-id,as24529,as-id,as58818,as-id,as45294,as-id,as63863,as-id,as58481,astra-as-id,as135449,as-id,as134653,as-id,as63887,asimaya-as-id,as134655,as-id,as55661,as-id,as23695,as-id,as132676,as-id,as46047,as-id,as4832,as-id,as64303,as-id,as136854,as-id,as45293,as-terbuka-as-id,as137292,as-id,as136880,as-id,as136055,as-id,as45712,as-id,as133839,as-id",mnt-apjii-id,05-11-2018,apnic,702,2641,0
as-bdhub,,"as23956,as55531,as58581,as58656,as132442,as55473,as45905,as45276,as9832,as58508,as58737,as23991,as38556,as55550,as56264,as38614,as132598,as132604,as38054,as58701,as132684,as38137,as38313,as58768,as58717,as56115,as58814,as132606,as132846,as132801,as24556,as24389,as24481,as38558,as55492,as58527,as24342,as38017,as38192,as58527,as23923,as55733,as38267,as38555,as59236,as58926,as38744,as38069,as58946,as58946,as133331,as38067,as38712,as58935,as133083,as59209,as59332,as133430,as133439,as38026,as58919,as38071,as55708,as23688,as58947,as133605,as63826,as55828,as63851,as38256,as133867,as58813,as63923,as132502,as58445,as131179,as45245,as55492,as58959,as59350,as58947,as63939,as133957,as133938,as133954,as132502,as9441,as38036,as134108,as63965,as133854,as134128,as63963,as133957,as58736,as134146,as63984,as63987,as63526,as59209,as132801,as133443,as59332,as64053,as63890,as64065,as56054,as134841,as134382,as134403,as134973,as134734,as23893,as134990,as135020,as135032,as135071,as64053,as135163,as59203,as64012,as135311,as135054,as64092,as134552,as38493,as135416,as45766,as55344,as38303,as135564,as132123,as24432,as132099,as132443,as135495,as134983,as135420,as135000,as136150,as64092,as134159,as131464,as133395,as135068,as38303,as136224,as134404,as59365,as136151,as134813,as59347,as135673,as135604,as136529,as134159,as136531,as132443,as132313,as136808,as136738,as136211,as136909,as136937,as23729,as132436,as134806,as137013,as137049,as136512,as135615,as137252,as136813,as137435,as137449,as135022,as137554,as137543,as137554,as136207,as136426,as137862,as136215,as137873,as132530,as134676,as138688,as134226,as138960,as139762,as139674,as59353,as9651,as139928,as133031,as140847,as137419,as138487,as138536,as59341,as136445,as139919,as142021,as142045,as139850,as140073,as138192,as139085,as137385,as138431,as138523,as142604,as138697,as136141,as139303,as136519,as142615,as149041,as149050,as138917,as141398,as142619,as137964,as133766,as139720,as136007,as134506,as147053,as138208,as138191,as137444,as149505,as136563,as149473,as138465,as141462,as135019,as137585,as149995,as142603,as137385,as142006,as140267,as142060,as150306,as147294,as150319,as136141,as141398,as140539,as137553,as141209,as136765,as59353,as149644,as142054,as147007,as150708,as139270,as140381,as58813,as149860,as149644,as150399,as149060,as58768,as149873,as137554,as136141,as141184,as142153,as138505,as140077,as151359",maint-bd-bdhub,30-05-2023,apnic,274,248,1
